Department Name,Classification Name,Address Zip Code,svc_bin,pay_bin,start_year_bin,start_season
EMERGENCY DEPT,EDT,91752,5-10,20-25,2010-2020,Fall
EMERGENCY DEPT,EDT,92373,5-10,25-30,2010-2020,Winter
EMERGENCY DEPT,EDT,92337,10-15,25-30,2000-2010,Fall
EMERGENCY DEPT,EDT,92571,0-5,20-25,2010-2020,Summer
EMERGENCY DEPT,EDT,91766,15-20,25-30,2000-2010,Summer
EMERGENCY DEPT,EDT,91740,0-5,25-30,2010-2020,Winter
EMERGENCY DEPT,EDT,91739,5-10,20-25,2010-2020,Spring
EMERGENCY DEPT,EDT,92336,0-5,20-25,2010-2020,Spring
EMERGENCY DEPT,EDT,91706,0-5,20-25,2010-2020,Summer
EMERGENCY DEPT,EDT,92395,10-15,25-30,2000-2010,Spring
EMERGENCY DEPT,EDT,92313,20-25,25-30,1990-2000,Fall
EMERGENCY DEPT,EDT,91761,0-5,20-25,2010-2020,Spring
EMERGENCY DEPT,EDT,91767,nan,20-25,2010-2020,Fall
EDUCATION,EDUCATOR,91739,15-20,75-80,2000-2010,Summer
EDUCATION,EDUCATOR,91741,0-5,75-80,2010-2020,Spring
EDUCATION,EDUCATOR,91789,30-35,80-85,1980-1990,Summer
FAMILY ED & RESOURCE,"EDUCATOR, (NON RN)",91710,20-25,40-45,1990-2000,Winter
FAMILY ED & RESOURCE,"EDUCATOR, (NON RN)",91764,10-15,40-45,2000-2010,Summer
UTILIZATION MANAGEME,"EDUCATOR, CASE MANAG",92220,nan,75-80,2010-2020,Summer
PLANT OPERATIONS,ELECTRICIAN,91767,15-20,35-40,2000-2010,Spring
DIALYSIS,"ENGINEER, DIALYSIS M",92337,20-25,35-40,1990-2000,Summer
PLANT MAINTENANCE BI,"ENGINEER, RADIOLOGY",92308,0-5,55-60,2010-2020,Winter
PLANT OPERATIONS,"ENGINEER, STATIONARY",91701,0-5,35-40,2010-2020,Summer
PLANT OPERATIONS,"ENGINEER, STATIONARY",91701,5-10,40-45,2010-2020,Spring
PLANT OPERATIONS,"ENGINEER, STATIONARY",91762,45-50,40-45,1970-1980,Winter
PLANT OPERATIONS,"ENGINEER, STATIONARY",91762,0-5,30-35,2010-2020,Summer
PLANT OPERATIONS,"ENGINEER, STATIONARY",92336,15-20,40-45,2000-2010,Spring
PLANT OPERATIONS,"ENGINEER, STATIONARY",92336,25-30,40-45,1980-1990,Fall
PLANT OPERATIONS,"ENGINEER, STATIONARY",91740,15-20,40-45,1990-2000,Fall
PLANT OPERATIONS,"ENGINEER, STATIONARY",91755,20-25,40-45,1990-2000,Spring
EVS,EVS ASSOC I,92407,25-30,20-25,1990-2000,Winter
EVS,EVS ASSOC I,91710,nan,20-25,2010-2020,Fall
EVS,EVS ASSOC I,91786,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91768,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC I,91730,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91750,0-5,nan,2010-2020,Fall
EVS,EVS ASSOC I,91761,10-15,20-25,2000-2010,Spring
EVS,EVS ASSOC I,92335,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91767,20-25,20-25,1990-2000,Winter
EVS,EVS ASSOC I,91701,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91710,15-20,20-25,2000-2010,Spring
EVS,EVS ASSOC I,91786,10-15,20-25,2000-2010,Spring
EVS,EVS ASSOC I,92336,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91706,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91761,20-25,20-25,1990-2000,Spring
EVS,EVS ASSOC I,92407,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,92394,nan,nan,2010-2020,Fall
EVS,EVS ASSOC I,91768,nan,nan,2010-2020,Fall
EVS,EVS ASSOC I,91762,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91748,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC I,91768,nan,nan,2010-2020,Summer
EVS,EVS ASSOC I,91767,10-15,20-25,2000-2010,Fall
EVS,EVS ASSOC I,91762,0-5,15-20,2010-2020,Fall
EVS,EVS ASSOC I,91762,0-5,nan,2010-2020,Spring
EVS,EVS ASSOC I,91763,20-25,20-25,1990-2000,Spring
EVS,EVS ASSOC I,91763,10-15,20-25,2000-2010,Summer
EVS,EVS ASSOC I,91762,0-5,nan,2010-2020,Fall
EVS,EVS ASSOC I,91767,5-10,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91768,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91767,nan,nan,2010-2020,Fall
EVS,EVS ASSOC I,91708,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91768,0-5,15-20,2010-2020,Winter
EVS,EVS ASSOC I,91730,0-5,15-20,2010-2020,Winter
EVS,EVS ASSOC I,92407,0-5,nan,2010-2020,Spring
EVS,EVS ASSOC I,92335,20-25,20-25,1990-2000,Summer
EVS,EVS ASSOC I,91766,15-20,20-25,2000-2010,Spring
EVS,EVS ASSOC I,91766,0-5,nan,2010-2020,Fall
EVS,EVS ASSOC I,91767,5-10,15-20,2010-2020,Spring
EVS,EVS ASSOC I,92377,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91767,0-5,15-20,2010-2020,Winter
EVS,EVS ASSOC I,91768,5-10,15-20,2010-2020,Winter
EVS,EVS ASSOC I,91711,0-5,nan,2010-2020,Summer
EVS,EVS ASSOC I,92410,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91767,0-5,nan,2010-2020,Winter
EVS,EVS ASSOC I,92553,nan,nan,2010-2020,Fall
EVS,EVS ASSOC I,91762,15-20,20-25,2000-2010,Fall
EVS,EVS ASSOC I,91786,5-10,20-25,2010-2020,Spring
EVS,EVS ASSOC I,91767,5-10,15-20,2010-2020,Winter
EVS,EVS ASSOC I,91763,10-15,15-20,2000-2010,Spring
EVS,EVS ASSOC I,91786,0-5,nan,2010-2020,Summer
EVS,EVS ASSOC I,91701,30-35,20-25,1980-1990,Fall
EVS,EVS ASSOC I,92336,0-5,nan,2010-2020,Spring
EVS,EVS ASSOC I,91730,nan,nan,2010-2020,Winter
EVS,EVS ASSOC I,92585,15-20,20-25,2000-2010,Spring
EVS,EVS ASSOC I,91763,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC I,91767,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91752,0-5,15-20,2010-2020,Winter
EVS,EVS ASSOC I,92335,15-20,20-25,2000-2010,Summer
EVS,EVS ASSOC I,91764,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC I,91766,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91737,0-5,nan,2010-2020,Winter
EVS,EVS ASSOC I,91766,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC I,91730,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC I,91762,5-10,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91710,15-20,20-25,1990-2000,Summer
EVS,EVS ASSOC I,91739,15-20,20-25,2000-2010,Summer
EVS,EVS ASSOC I,92503,0-5,20-25,2010-2020,Summer
EVS,EVS ASSOC I,91767,10-15,20-25,2000-2010,Summer
EVS,EVS ASSOC I,92545,10-15,20-25,2000-2010,Fall
EVS,EVS ASSOC I,91710,15-20,nan,2000-2010,Summer
EVS,EVS ASSOC I,91767,0-5,nan,2010-2020,Fall
EVS,EVS ASSOC I,91768,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91767,0-5,nan,2010-2020,Spring
EVS,EVS ASSOC I,91766,0-5,nan,2010-2020,Summer
EVS,EVS ASSOC I,91740,nan,nan,2010-2020,Winter
EVS,EVS ASSOC I,91768,10-15,20-25,2000-2010,Spring
EVS,EVS ASSOC I,91766,0-5,nan,2010-2020,Fall
EVS,EVS ASSOC I,91766,15-20,20-25,2000-2010,Fall
EVS,EVS ASSOC I,91746,nan,nan,2010-2020,Fall
EVS,EVS ASSOC I,91763,10-15,20-25,2000-2010,Spring
EVS,EVS ASSOC I,91706,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,91763,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC I,92404,5-10,20-25,2010-2020,Fall
EVS,EVS ASSOC I,92392,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC I,92308,20-25,20-25,1990-2000,Spring
EVS,EVS ASSOC I,92394,0-5,nan,2010-2020,Spring
EVS,EVS ASSOC I,91768,0-5,15-20,2010-2020,Winter
EVS,EVS ASSOC I,92376,20-25,20-25,1990-2000,Summer
EVS,EVS ASSOC I,91766,15-20,20-25,2000-2010,Fall
EVS,EVS ASSOC I,91768,0-5,nan,2010-2020,Spring
EVS,EVS ASSOC I,91784,0-5,nan,2010-2020,Summer
EVS,EVS ASSOC I,92407,nan,nan,2010-2020,Summer
EVS,EVS ASSOC I,92376,15-20,20-25,2000-2010,Fall
EVS,EVS ASSOC I,91762,0-5,15-20,2010-2020,Fall
EVS,EVS ASSOC I,92316,5-10,15-20,2010-2020,Winter
EVS,EVS ASSOC I,91767,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC I,91763,5-10,20-25,2010-2020,Fall
EVS,EVS ASSOC I,91768,0-5,nan,2010-2020,Fall
EVS,EVS ASSOC I,91766,0-5,nan,2010-2020,Winter
EVS,EVS ASSOC I,91764,nan,nan,2020-2021,Winter
EVS,EVS ASSOC I,91750,0-5,nan,2010-2020,Spring
EVS,EVS ASSOC I,92509,15-20,20-25,2000-2010,Spring
EVS,EVS ASSOC I,92553,0-5,nan,2010-2020,Summer
EVS,EVS ASSOC II,91750,40-45,20-25,1970-1980,Winter
EVS,EVS ASSOC II,91711,0-5,20-25,2010-2020,Fall
EVS,EVS ASSOC II,92376,0-5,20-25,2010-2020,Spring
EVS,EVS ASSOC II,92335,15-20,20-25,2000-2010,Winter
EVS,EVS ASSOC II,92335,0-5,15-20,2010-2020,Winter
EVS,EVS ASSOC II,91786,0-5,20-25,2010-2020,Spring
EVS,EVS ASSOC II,91791,15-20,20-25,2000-2010,Winter
EVS,EVS ASSOC II,92324,5-10,20-25,2010-2020,Fall
EVS,EVS ASSOC II,91766,0-5,15-20,2010-2020,Fall
EVS,EVS ASSOC II,92376,0-5,15-20,2010-2020,Summer
EVS,EVS ASSOC II,92346,10-15,20-25,2000-2010,Fall
EVS,EVS ASSOC II,92335,15-20,20-25,1990-2000,Fall
EVS,EVS ASSOC II,92376,0-5,15-20,2010-2020,Spring
EVS,EVS ASSOC II,91701,0-5,20-25,2010-2020,Winter
EVS,EVS ASSOC II,91766,30-35,20-25,1980-1990,Fall
EVS,EVS ASSOC II,90723,0-5,20-25,2010-2020,Winter
EVS,EVS ASSOC II,92240,30-35,20-25,1980-1990,Winter
EVS,EVS ASSOC II,91768,10-15,20-25,2000-2010,Spring
EVS,EVS ASSOC II,92336,0-5,15-20,2010-2020,Summer
NICU,"EVS ASSOC II, NICU",92583,5-10,15-20,2010-2020,Fall
NICU,"EVS ASSOC II, NICU",91784,10-15,20-25,2000-2010,Summer
EVS,EVS ASSOC III,92377,15-20,20-25,1990-2000,Fall
EVS,EVS ASSOC III,91766,10-15,20-25,2000-2010,Fall
EVS,EVS ASSOC III,91766,10-15,20-25,2000-2010,Winter
EVS,EVS ASSOC III,91768,15-20,20-25,2000-2010,Spring
EVS,EVS ASSOC III,91768,10-15,20-25,2000-2010,Fall
EVS,EVS ASSOC III,92505,15-20,20-25,2000-2010,Fall
EVS,EVS ASSOC III,91768,15-20,20-25,2000-2010,Spring
EVS,EVS ASSOC III,91761,15-20,20-25,2000-2010,Spring
FINANCE ADMINISTRATI,"EXAMINER, CLAIMS",91737,0-5,25-30,2010-2020,Fall
FINANCE ADMINISTRATI,"EXAMINER, SR CLAIMS",92509,0-5,25-30,2010-2020,Winter
RESOURCE CENTER,"EXEC SECR, RESOURCE",92553,0-5,35-40,2010-2020,Winter
FINANCIAL SERVICES,EXECUTIVE ASSISTANT,91730,45-50,50-55,1970-1980,Summer
PLANT OPERATIONS,"EXECUTIVE ASSISTANT,",90280,0-5,30-35,2010-2020,Winter
HUMAN RESOURCES,"EXECUTIVE ASSISTANT,",91730,10-15,40-45,2000-2010,Summer
INFORMATION SERVICES,"EXECUTIVE ASSISTANT,",91750,10-15,40-45,2000-2010,Winter
NURSING ADMINISTRATI,"EXECUTIVE ASSISTANT,",91708,5-10,35-40,2010-2020,Winter
FOOD & NUTRITION SER,EXECUTIVE CHEF,91766,15-20,30-35,2000-2010,Summer
FAMILY ED & RESOURCE,FAM BIRTH ASSIST,91767,10-15,20-25,2000-2010,Winter
FAMILY ED & RESOURCE,FAM BIRTH ASSIST,91765,0-5,20-25,2010-2020,Winter
FAMILY ED & RESOURCE,FAM BIRTH ASSIST,91710,0-5,20-25,2010-2020,Fall
FAMILY MEDICINE RESI,"FELLOWSHIP, URGENT C",91766,nan,30-35,2010-2020,Summer
FAMILY MEDICINE RESI,"FELLOWSHIP, URGENT C",91709,nan,30-35,2010-2020,Summer
FNS DINING SERVICES,FOOD SERV ASSOC,91762,15-20,15-20,2000-2010,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91748,0-5,15-20,2010-2020,Winter
FNS DINING SERVICES,FOOD SERV ASSOC,91768,0-5,15-20,2010-2020,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,20-25,15-20,1990-2000,Fall
FNS DINING SERVICES,FOOD SERV ASSOC,91762,15-20,15-20,2000-2010,Spring
FOOD & NUTRITION SER,FOOD SERV ASSOC,91767,15-20,15-20,2000-2010,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91763,15-20,15-20,2000-2010,Fall
FNS DINING SERVICES,FOOD SERV ASSOC,92377,15-20,15-20,2000-2010,Spring
FOOD & NUTRITION SER,FOOD SERV ASSOC,92376,0-5,15-20,2010-2020,Spring
FNS DINING SERVICES,FOOD SERV ASSOC,92509,25-30,15-20,1990-2000,Winter
FNS DINING SERVICES,FOOD SERV ASSOC,91768,nan,nan,2010-2020,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91767,0-5,15-20,2010-2020,Winter
FNS CATERING,FOOD SERV ASSOC,92345,10-15,15-20,2000-2010,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,0-5,nan,2010-2020,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91789,nan,nan,2010-2020,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91737,5-10,15-20,2010-2020,Fall
FOOD & NUTRITION SER,FOOD SERV ASSOC,91010,0-5,15-20,2010-2020,Spring
FOOD & NUTRITION SER,FOOD SERV ASSOC,91786,15-20,20-25,2000-2010,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91711,nan,15-20,2010-2020,Fall
FOOD & NUTRITION SER,FOOD SERV ASSOC,91763,5-10,15-20,2010-2020,Spring
FOOD & NUTRITION SER,FOOD SERV ASSOC,91764,nan,nan,2010-2020,Fall
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,0-5,nan,2010-2020,Fall
FOOD & NUTRITION SER,FOOD SERV ASSOC,91786,10-15,20-25,2000-2010,Winter
FNS DINING SERVICES,FOOD SERV ASSOC,92411,0-5,15-20,2010-2020,Fall
FNS DINING SERVICES,FOOD SERV ASSOC,91767,10-15,15-20,2000-2010,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91768,0-5,nan,2010-2020,Spring
FNS DINING SERVICES,FOOD SERV ASSOC,91767,0-5,nan,2010-2020,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,0-5,15-20,2010-2020,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91767,0-5,15-20,2010-2020,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,nan,15-20,2010-2020,Fall
FNS DINING SERVICES,FOOD SERV ASSOC,91766,15-20,15-20,2000-2010,Fall
FOOD & NUTRITION SER,FOOD SERV ASSOC,92336,nan,15-20,2010-2020,Fall
FNS DINING SERVICES,FOOD SERV ASSOC,91786,0-5,15-20,2010-2020,Spring
FNS DINING SERVICES,FOOD SERV ASSOC,91767,15-20,15-20,2000-2010,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91723,10-15,15-20,2000-2010,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91764,25-30,15-20,1990-2000,Spring
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,nan,nan,2010-2020,Fall
FNS CATERING,FOOD SERV ASSOC,91766,0-5,15-20,2010-2020,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,0-5,nan,2010-2020,Spring
FNS DINING SERVICES,FOOD SERV ASSOC,91763,10-15,15-20,2000-2010,Spring
FNS DINING SERVICES,FOOD SERV ASSOC,91786,30-35,15-20,1980-1990,Winter
FNS DINING SERVICES,FOOD SERV ASSOC,91766,15-20,15-20,2000-2010,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,92336,0-5,15-20,2010-2020,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,92336,10-15,15-20,2000-2010,Fall
FOOD & NUTRITION SER,FOOD SERV ASSOC,92336,0-5,nan,2010-2020,Spring
FNS DINING SERVICES,FOOD SERV ASSOC,91767,25-30,15-20,1990-2000,Fall
FNS DINING SERVICES,FOOD SERV ASSOC,91786,10-15,15-20,2000-2010,Spring
FOOD & NUTRITION SER,FOOD SERV ASSOC,91711,25-30,15-20,1980-1990,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91767,15-20,15-20,2000-2010,Fall
FOOD & NUTRITION SER,FOOD SERV ASSOC,92376,0-5,20-25,2010-2020,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91766,20-25,15-20,1990-2000,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,91010,nan,nan,2010-2020,Winter
FOOD & NUTRITION SER,FOOD SERV ASSOC,91730,15-20,15-20,2000-2010,Summer
FOOD & NUTRITION SER,FOOD SERV ASSOC,92336,10-15,15-20,2000-2010,Fall
PLANT OPERATIONS,GEN SERV WORKER,91767,15-20,25-30,2000-2010,Spring
PLANT OPERATIONS,GEN SERV WORKER,90606,5-10,25-30,2010-2020,Winter
PLANT OPERATIONS,GEN SERV WORKER,91764,5-10,20-25,2010-2020,Summer
PLANT OPERATIONS,GEN SERV WORKER,91710,25-30,25-30,1990-2000,Winter
PLANT OPERATIONS,GEN SERV WORKER,91763,40-45,25-30,1970-1980,Summer
G.I. LAB,GI TECH/CLIN ASSOC,91765,15-20,25-30,2000-2010,Summer
G.I. LAB,GI TECH/CLIN ASSOC,91786,20-25,25-30,1990-2000,Summer
G.I. LAB,GI TECH/CLIN ASSOC,91768,0-5,20-25,2010-2020,Winter
G.I. LAB,GI TECH/CLIN ASSOC,92301,10-15,25-30,2000-2010,Fall
G.I. LAB,GI TECH/CLIN ASSOC,91730,5-10,25-30,2010-2020,Spring
LAB-PATHOLOGY,HISTOTECH,91786,0-5,30-35,2010-2020,Fall
LAB-PATHOLOGY,HISTOTECH,91766,25-30,40-45,1990-2000,Summer
LAB-PATHOLOGY,HISTOTECH,91766,nan,25-30,2010-2020,Fall
LAB-PATHOLOGY,"HISTOTECH, LEAD",91740,10-15,40-45,2000-2010,Spring
SECURITY,HOSP DESK & PRK AMB,91762,0-5,nan,2010-2020,Summer
SECURITY,HOSP DESK & PRK AMB,91768,0-5,nan,2010-2020,Spring
SECURITY,HOSP DESK & PRK AMB,91767,5-10,15-20,2010-2020,Winter
SECURITY,HOSP DESK & PRK AMB,92335,0-5,15-20,2010-2020,Spring
SECURITY,HOSP DESK & PRK AMB,91767,20-25,15-20,1990-2000,Spring
SECURITY,HOSP DESK & PRK AMB,91791,0-5,15-20,2010-2020,Fall
SECURITY,HOSP DESK & PRK AMB,91701,0-5,15-20,2010-2020,Summer
INFORMATION SERVICES,INFRASTRUCTURE TECH,90660,10-15,40-45,2000-2010,Winter
LABORATORY,LAB ASST/PHLEB,91761,5-10,20-25,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,91761,0-5,20-25,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,91762,0-5,20-25,2010-2020,Summer
LABORATORY,LAB ASST/PHLEB,91701,5-10,20-25,2010-2020,Winter
LABORATORY,LAB ASST/PHLEB,91701,20-25,20-25,1990-2000,Summer
LABORATORY,LAB ASST/PHLEB,92336,10-15,20-25,2000-2010,Fall
LABORATORY,LAB ASST/PHLEB,92557,10-15,20-25,2000-2010,Winter
LABORATORY,LAB ASST/PHLEB,92336,10-15,20-25,2000-2010,Fall
LABORATORY,LAB ASST/PHLEB,91767,10-15,20-25,2000-2010,Spring
LABORATORY,LAB ASST/PHLEB,91766,20-25,20-25,1990-2000,Summer
LABORATORY,LAB ASST/PHLEB,92570,0-5,20-25,2010-2020,Winter
LABORATORY,LAB ASST/PHLEB,92336,10-15,20-25,2000-2010,Winter
LABORATORY,LAB ASST/PHLEB,92337,5-10,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,92555,5-10,20-25,2010-2020,Winter
LABORATORY,LAB ASST/PHLEB,91710,10-15,20-25,2000-2010,Spring
LABORATORY,LAB ASST/PHLEB,91786,0-5,15-20,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,91766,5-10,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,92880,0-5,20-25,2010-2020,Summer
LABORATORY,LAB ASST/PHLEB,91766,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,92336,10-15,20-25,2000-2010,Summer
LABORATORY,LAB ASST/PHLEB,91784,0-5,15-20,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,91730,0-5,20-25,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,92324,0-5,15-20,2010-2020,Winter
LABORATORY,LAB ASST/PHLEB,91730,0-5,20-25,2010-2020,Winter
LABORATORY,LAB ASST/PHLEB,92336,0-5,20-25,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,91762,0-5,15-20,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,92397,0-5,15-20,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,91710,15-20,20-25,2000-2010,Winter
LABORATORY,LAB ASST/PHLEB,92336,5-10,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,91752,10-15,20-25,2000-2010,Summer
LABORATORY,LAB ASST/PHLEB,92336,10-15,20-25,2000-2010,Spring
LABORATORY,LAB ASST/PHLEB,91750,0-5,20-25,2010-2020,Summer
LABORATORY,LAB ASST/PHLEB,91722,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,92336,0-5,15-20,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,92336,30-35,25-30,1980-1990,Summer
LABORATORY,LAB ASST/PHLEB,91761,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,92880,20-25,20-25,1990-2000,Summer
LABORATORY,LAB ASST/PHLEB,91767,nan,20-25,2010-2020,Fall
LABORATORY,LAB ASST/PHLEB,91107,0-5,20-25,2010-2020,Winter
LABORATORY,LAB ASST/PHLEB,91710,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,92223,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,91709,5-10,20-25,2010-2020,Winter
LABORATORY,LAB ASST/PHLEB,91739,0-5,20-25,2010-2020,Summer
LABORATORY,LAB ASST/PHLEB,92337,15-20,20-25,2000-2010,Winter
LABORATORY,LAB ASST/PHLEB,91739,5-10,20-25,2010-2020,Summer
LABORATORY,LAB ASST/PHLEB,91710,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,91711,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,91730,0-5,20-25,2010-2020,Spring
LABORATORY,LAB ASST/PHLEB,91786,10-15,20-25,2000-2010,Winter
LABORATORY,LAB ASST/PHLEB,92336,5-10,20-25,2010-2020,Summer
SATELLITE CENTRAL BI,LEAD CODER,91763,15-20,25-30,2000-2010,Spring
EVS,LEAD EVS ASSOCIATE,91768,10-15,25-30,2000-2010,Fall
EVS,LEAD EVS ASSOCIATE,91784,5-10,25-30,2010-2020,Winter
EVS,LEAD EVS ASSOCIATE,91766,10-15,25-30,2000-2010,Summer
EVS,LEAD EVS ASSOCIATE,91762,0-5,25-30,2010-2020,Summer
EVS,LEAD EVS ASSOCIATE,92345,15-20,25-30,2000-2010,Summer
EVS,LEAD EVS ASSOCIATE,92376,0-5,20-25,2010-2020,Winter
EVS,LEAD EVS ASSOCIATE,91741,5-10,20-25,2010-2020,Spring
RADIOLOGY-SCAN,"LEAD, CT TEAM",92595,30-35,60-65,1980-1990,Winter
BREAST HEALTH CENTER,"LEAD, MAMMOGRAPHY TE",92880,15-20,55-60,2000-2010,Fall
BREAST HEALTH CENTER,"LEAD, MAMMOGRAPHY TE",91730,0-5,55-60,2010-2020,Fall
RADIOLOGY-ADMIN,"LIBRARIAN, IMAGING",91730,35-40,20-25,1980-1990,Winter
RADIOLOGY-ADMIN,"LIBRARIAN, IMAGING",91766,15-20,20-25,2000-2010,Winter
RADIOLOGY-ADMIN,"LIBRARIAN, IMAGING",91767,40-45,20-25,1970-1980,Summer
ICU,LVN I,92345,10-15,25-30,2000-2010,Winter
LDRP,LVN I,91762,15-20,25-30,2000-2010,Spring
MEDSURG 5 - (5 CENTR,LVN I,92336,15-20,25-30,2000-2010,Winter
ICU 3,LVN I,91750,0-5,25-30,2010-2020,Spring
OBSERVATION CARE,LVN I,91766,10-15,20-25,2000-2010,Fall
CH CROSSROADS URGENT,LVN I,92346,nan,20-25,2010-2020,Winter
LDRP,LVN I,91766,5-10,20-25,2010-2020,Summer
ICU,LVN I,91710,nan,20-25,2010-2020,Winter
LDRP,LVN I,92584,15-20,25-30,2000-2010,Spring
EMERGENCY DEPT,LVN I,92501,10-15,25-30,2000-2010,Summer
ICU,LVN I,91784,0-5,20-25,2010-2020,Winter
LDRP,LVN I,91739,0-5,20-25,2010-2020,Spring
LDRP,LVN I,91708,10-15,25-30,2000-2010,Spring
CH CROSSROADS URGENT,LVN I,91709,0-5,20-25,2010-2020,Spring
LDRP,LVN I,91730,10-15,25-30,2000-2010,Fall
LDRP,LVN I,92337,15-20,25-30,2000-2010,Spring
LDRP,LVN I,91711,0-5,20-25,2010-2020,Summer
SWEET SUCCESS,LVN I,92337,25-30,30-35,1990-2000,Winter
LDRP,LVN I,91708,5-10,25-30,2010-2020,Fall
EMERGENCY DEPT,LVN I,92335,15-20,25-30,2000-2010,Spring
LDRP,LVN I,91708,25-30,30-35,1990-2000,Fall
MEDSURG 4 - (4 CENTR,LVN I,91786,10-15,25-30,2000-2010,Fall
LDRP,LVN I,91730,0-5,25-30,2010-2020,Fall
CH CROSSROADS URGENT,LVN I,91744,15-20,30-35,2000-2010,Winter
LDRP,LVN I,91740,15-20,25-30,2000-2010,Summer
DOU2 - SICU,LVN I,92223,nan,20-25,2010-2020,Fall
OBSERVATION CARE,LVN I,91762,10-15,25-30,2000-2010,Winter
MEDSURG 4 - (4 CENTR,LVN I,91739,20-25,25-30,1990-2000,Spring
CLAREMONT HC URGENT,LVN I,91768,nan,20-25,2010-2020,Fall
LDRP,LVN I,91786,0-5,25-30,2010-2020,Spring
CH CROSSROADS URGENT,LVN I,92530,5-10,30-35,2010-2020,Spring
ICU,LVN I,91773,5-10,25-30,2010-2020,Fall
LAVERNE HC URGENT CA,LVN I,91730,0-5,30-35,2010-2020,Spring
ICU,LVN I,91762,0-5,20-25,2010-2020,Summer
LDRP,LVN I,91708,10-15,25-30,2000-2010,Spring
